mobile_model_name,cnt
C6L 2020,7
C7,2
C9,2
CAG-L22,1
CAM-AL00,2
CAM-L03,2
CAM-L21,2
CAM-L23,2
CAM-L32,2
CAM-TL00,4
CAM-TL00H,1
CAM-UL00,2
CAN-L01,2
CAN-L11,3
CAN-L13,2
CAZ-AL10,2
CC6,3
CC7,10
CC9,5
CD6,4
CD6j,5
CD7,6
CD8,1
CD8J,1
CDY-AN20,15
CDY-NX9A,9
CE7J,1
CE7j,6
CE8,2
CE9,3
CF7,3
CF7k,3
CF8,3
CG6,7
CG6j,2
CG7,5
CG7n,1
CG8,1
CG8h,2
CH6,5
CH6h,1
CH6n,2
CH7,2
CH7n,1
CH9,2
CHC-U01,2
CHC-U23,1
CHEETAH,2
CHM-U01,2
CI2542,2
CI6,3
CI8,2
CLT-AL00,1
CLT-L04,4
CLT-L09,110
CLT-L29,25
CMA-LX1,5
CMA-LX2,1
CMR-AL09,1
CMR-W09,1
CN810,2
COL-L29,12
COR-AL00,1
COR-AL10,1
COR-L29,6
CP10,2
CP3320AS2,8
CP3504L,1
CP3648A,2
CP3648AT,2
CP3667AT,1
CP3669AS,6
CP3706AS,12
CP8298_I00,2
CP8676_I03,2
CPH1605,2
CPH1607,4
CPH1609,2
CPH1611,3
CPH1613,3
CPH1707,2
CPH1715,2
CPH1717,1
CPH1719,1
CPH1723,1
CPH1725,1
CPH1729,2
CPH1801,1
CPH1803,2
CPH1809,1
CPH1819,2
CPH1823,4
CPH1831,1
CPH1851,1
CPH1853,1
CPH1859,1
CPH1877,1
CPH1879,1
CPH1893,1
CPH1901,3
CPH1903,2
CPH1907,8
CPH1909,4
CPH1911,2
CPH1917,5
CPH1919,1
CPH1921,4
CPH1923,2
CPH1931,43
CPH1933,3
CPH1937,25
CPH1941,3
CPH1943,1
CPH1951,9
CPH1969,3
CPH1979,4
CPH1989,5
CPH2001,1
CPH2005,24
CPH2009,12
CPH2015,2
CPH2021,5
CPH2023,1
CPH2025,8
CPH2043,2
CPH2059,1
CPH2061,1
CPH2065,5
CPH2067,41
CPH2069,4
CPH2071,1
CPH2083,4
CPH2089,7
CPH2091,9
CPH2095,4
CPH2109,1
CPH2119,3
CPH2121,5
CPH2125,2
CPH2127,60
CPH2135,12
CPH2145,38
CPH2159,4
CPH2161,1
CPH2173,12
CPH2179,4
CPH2185,68
CPH2195,89
CPH2197,29
CPH2203,2
CPH2205,4
CPH2207,15
CPH2209,2
CPH2211,35
CPH2217,4
CPH2219,13
CPH2223,2
CPH2235,3
CPH2237,1
CPH2239,6
CPH2247,1
CPH2249,1
CPH2251,1
CPH2263,2
CPH2269,10
CPH2271,80
CPH2273,41
CPH2285,1
CPH2305,6
CPH2307,4
CPH2325,4
CPH2333,8
CPH2343,4
CPH2349,1
CPH2357,2
CPH2363,6
CPH2365,1
CPH2371,33
CPH2375,14
CPH2381,2
CPH2387,2
CPH2401,1
CPN-W09,4
CRO-L02,2
CRO-L22,2
CRO-L23,2
CRO-L3,2
CRO-U00,2
CRR-L09,2
CRR-UL00,2
CRR-UL20,1
CX-940,2
Camon CX,3
Che2-L11,2
Coolpad Y91-I00,2
Core-M5,1
Core-X4,1
Cosmos V8 Lite,2
Curvy C40i,1
Curvy C50L,2
Cygnus X,1
D101,2
D10i,2
D2-0082,2
D2-2010,2
D385,2
D455,2
D5803,2
D5833,2
D6502,3
D6503,6
D6543,2
D6563,2
D6603,4
D6616,2
D6633,1
D6643,1
D802,2
D826D,2
D826w,2
D828g,2
D838,2
D850,2
D851,1
D852,3
D855,2
D858HK,2
D9,2
DASH X2,2
DE2117,7
DE2118,418
DIAMOND M,2
DIG-AL00,2
DIG-L01,2
DIG-L03,2
DIG-L21,2
DIG-L21HN,2
DIG-L23,2
DIG-TL10,2
DL 1 Plus,1
DL1036,2
DL3,1
DLT-A0,1
DM-01J,2
DN2103,15
DRA-L21,2
DRA-LX2,1
DRA-LX9,3
DT2002C,1
DUA-AL00,1
DUA-L22,6
DUB-AL00,1
DUB-AL20,2
DUB-LX1,34
DUB-LX2,5
DUB-LX3,3
DUK-AL20,1
Dash L2,2
Dash L3,1
Dash M2,2
Dash XL,2
Dazen X7,2
Desire,3
Desire 10 Compact,2
Desire 10 Lifestyle,2
Desire 10 Pro,2
Desire 12,1
Desire 530,3
Desire 626,2
Desire 626s,3
Desire 630 dual sim,2
Desire 650,2
Desire 650 dual sim,2
Desire 816,2
Desire 820,2
Desire 825,2
Desire 826,2
Desire 828,2
Desire 830,3
Diamond Pro,2
Dinosaur,2
Dive 71,1
Dive 72,2
E1,2
E1001,2
E1003,4
E1005,2
E12,1
E2,2
E2303,2
E2306,2
E2312,2
E2333,1
E2353,2
E2363,3
E481,2
E4820,2
E484,2
E485,2
E5,2
E500,2
E502,2
E503,2
E5303,3
E5306,2
E5333,2
E5353,1
E5363,2
E5506,2
E5533,3
E5553,2
E5563,3
E5603,2
E5606,2
E5633,2
E5663,2
E570,2
E580,2
E5823,2
E6533,2
E6553,3
E6603,2
E6633,3
E6653,3
E6683,2
E6790,2
E6810,1
E6820,2
E6830,2
E6833,3
E6853,2
E6883,2
E6910,19
E6920,2
E7110,2
E76,3
E8,3
E9w,2
E9x,1
EA1002,25
EA211001,11
EA211002,53
EA211005,13
EB2103,13
EC1002,51
EC211001,124
EC211002,90
EC211003,21
EC211004,2
EKO 4.0,2
ELA-AL00,5
ELE-L04,5
ELE-L09,41
ELE-L29,17
ELEMENT Q,2
ELITE T8,2
ELS-AN00,4
ELS-N04,1
ELS-N39,2
ELS-NX9,4
ELUGA I3 Mega,2
ELUGA I8,1
ELUGA Ray,2
ELUGA Ray Max,2
ELUGA Ray X,2
EML-AL00,2
EML-L09,69
EML-L29,13
ENERGY DIAMOND,2
EVA-AL00,2
EVA-AL10,2
EVA-L09,5
EVA-L19,4
EVA-L29,2
EVA-TL00,2
EVR-L29,212
EVR-N29,4
Echo,2
Edge,9
Edge (2022),3
Edge 20,5
Edge 20 pro,7
Edge 5G UW,143
Edge Plus,11
Edge Plus 5G UW (2022),6
Ektra,2
Elife S7,2
Elite 1 4G,2
Elite 5.0M,2
Elite A65,2
Elite C55,4
Elite E55,3
Elite F55,2
Elite H55,4
Elite J55,5
Elite Octa,6
Elite OctaPlus,2
Elite OctaX,2
Elite P55,2
Elite Star,1
Eluga Note,2
Energy X Plus 2,2
Era 2,2
Era 2X 3GB,1
EverGlory Plus,2
EverStar Nano,1
EverStar Pro,2
EverStar Q40,2
EverStar S,2
F-01F,2
F-01H,2
F-01K,1
F-01L,1
F-02H,2
F-03H,2
F-04G,1
F1,5
F100L,3
F103,2
F103 Pro,2
F104Bv2 PRO,2
F106,2
F120K,2
F2,3
F20,2
F240L,2
F3,2
F30,2
F31,2
F310L,3
